topic,tweet_count,mean_sentiment_score,interaction_rate,median_engagement,mean_engagement,share_negative,share_neutral,share_positive
Coding,1348,0.240520,0.618694,1.000000,12.590504,0.127596,0.522255,0.350148
Education,2618,0.143382,0.595493,1.000000,44.678762,0.179908,0.514897,0.305195
Reliability,1408,-0.227795,0.615767,1.000000,21.632102,0.453835,0.392756,0.153409
Work,1702,0.082215,0.537603,1.000000,22.997062,0.225029,0.486486,0.288484
