chapter,section,cluster,cluster_name,count,section_total,proportion
Part 10: Majors and Courses,Public Policy (PUBPOL),6,China and language studies,1,35,0.0286
Part 10: Majors and Courses,Public Policy (PUBPOL),8,"Society, history and politics",9,35,0.2571
Part 10: Majors and Courses,Public Policy (PUBPOL),9,Quantitative and technical study,1,35,0.0286
Part 10: Majors and Courses,Religious Studies (RELIG),4,Interdisciplinary learning,1,16,0.0625
Part 10: Majors and Courses,Religious Studies (RELIG),6,China and language studies,1,16,0.0625
Part 10: Majors and Courses,Religious Studies (RELIG),8,"Society, history and politics",14,16,0.875
Part 10: Majors and Courses,Requirements for All Majors,5,Credits and placement,4,4,1.0
Part 10: Majors and Courses,Research Independent Study (RINDSTU),4,Interdisciplinary learning,1,1,1.0
Part 10: Majors and Courses,Social Science (SOSC),1,"Policy, economics and governance",4,11,0.3636
Part 10: Majors and Courses,Social Science (SOSC),4,Interdisciplinary learning,1,11,0.0909
Part 10: Majors and Courses,Social Science (SOSC),5,Credits and placement,1,11,0.0909
Part 10: Majors and Courses,Social Science (SOSC),8,"Society, history and politics",2,11,0.1818
Part 10: Majors and Courses,Social Science (SOSC),9,Quantitative and technical study,3,11,0.2727
Part 10: Majors and Courses,Sociology (SOCIOL),1,"Policy, economics and governance",4,13,0.3077
Part 10: Majors and Courses,Sociology (SOCIOL),3,Media and creative practice,1,13,0.0769
Part 10: Majors and Courses,Sociology (SOCIOL),4,Interdisciplinary learning,1,13,0.0769
Part 10: Majors and Courses,Sociology (SOCIOL),8,"Society, history and politics",7,13,0.5385
Part 10: Majors and Courses,Statistics (STATS),1,"Policy, economics and governance",1,15,0.0667
Part 10: Majors and Courses,Statistics (STATS),5,Credits and placement,1,15,0.0667
Part 10: Majors and Courses,Statistics (STATS),9,Quantitative and technical study,13,15,0.8667
Part 10: Majors and Courses,Third Language (TLANG),4,Interdisciplinary learning,4,4,1.0
Part 10: Majors and Courses,US Studies (USTUD),3,Media and creative practice,1,4,0.25
Part 10: Majors and Courses,US Studies (USTUD),4,Interdisciplinary learning,2,4,0.5
Part 10: Majors and Courses,US Studies (USTUD),8,"Society, history and politics",1,4,0.25
Part 10: Majors and Courses,"US Studies with tracks in American History, American Literature, Political Science, and Public Policy",8,"Society, history and politics",2,2,1.0
Part 10: Majors and Courses,Written and Oral Communication (WOC),3,Media and creative practice,3,13,0.2308
Part 10: Majors and Courses,Written and Oral Communication (WOC),4,Interdisciplinary learning,8,13,0.6154
Part 10: Majors and Courses,Written and Oral Communication (WOC),5,Credits and placement,2,13,0.1538
Part 11: Academic Calendar 2021-22,Academic Calendar 2021-22,2,Academic status and procedures,9,10,0.9
Part 11: Academic Calendar 2021-22,Academic Calendar 2021-22,5,Credits and placement,1,10,0.1
Part 12: Useful Contacts,Useful Contacts,7,"Degrees, transfer and services",3,3,1.0
Part 1: General Information,Duke Kunshan University Community Standard,7,"Degrees, transfer and services",1,1,1.0
Part 1: General Information,General Information,1,"Policy, economics and governance",1,3,0.3333
Part 1: General Information,General Information,4,Interdisciplinary learning,1,3,0.3333
Part 1: General Information,General Information,7,"Degrees, transfer and services",1,3,0.3333
Part 1: General Information,Mission Statement,7,"Degrees, transfer and services",1,1,1.0
Part 1: General Information,Partners,5,Credits and placement,1,6,0.1667
Part 1: General Information,Partners,6,China and language studies,1,6,0.1667
Part 1: General Information,Partners,7,"Degrees, transfer and services",4,6,0.6667
Part 1: General Information,Statement on Diversity and Inclusion,4,Interdisciplinary learning,1,2,0.5
Part 1: General Information,Statement on Diversity and Inclusion,7,"Degrees, transfer and services",1,2,0.5
Part 1: General Information,Who We Are,5,Credits and placement,1,6,0.1667
Part 1: General Information,Who We Are,7,"Degrees, transfer and services",5,6,0.8333
Part 2: A Liberal Arts Education at Duke Kunshan University,A 21st Century Curriculum,7,"Degrees, transfer and services",1,1,1.0
Part 2: A Liberal Arts Education at Duke Kunshan University,A Liberal Arts College Experience,7,"Degrees, transfer and services",1,1,1.0
Part 2: A Liberal Arts Education at Duke Kunshan University,Animating Principles,4,Interdisciplinary learning,2,3,0.6667
Part 2: A Liberal Arts Education at Duke Kunshan University,Animating Principles,7,"Degrees, transfer and services",1,3,0.3333
Part 2: A Liberal Arts Education at Duke Kunshan University,Dual Degrees,7,"Degrees, transfer and services",1,1,1.0
Part 3: The Curriculum,Degree Requirements,4,Interdisciplinary learning,10,36,0.2778
Part 3: The Curriculum,Degree Requirements,5,Credits and placement,16,36,0.4444
Part 3: The Curriculum,Degree Requirements,6,China and language studies,1,36,0.0278
Part 3: The Curriculum,Degree Requirements,7,"Degrees, transfer and services",9,36,0.25
Part 3: The Curriculum,Key Components,4,Interdisciplinary learning,2,6,0.3333
Part 3: The Curriculum,Key Components,5,Credits and placement,1,6,0.1667
Part 3: The Curriculum,Key Components,7,"Degrees, transfer and services",3,6,0.5
Part 3: The Curriculum,Overview,4,Interdisciplinary learning,3,5,0.6
Part 3: The Curriculum,Overview,7,"Degrees, transfer and services",2,5,0.4
"Part 4: Admission, Scholarships and Financial Aid",Application Requirements,5,Credits and placement,5,5,1.0
"Part 4: Admission, Scholarships and Financial Aid",Application Timelines,5,Credits and placement,5,6,0.8333
"Part 4: Admission, Scholarships and Financial Aid",Application Timelines,7,"Degrees, transfer and services",1,6,0.1667
"Part 4: Admission, Scholarships and Financial Aid",Principles of Selection,7,"Degrees, transfer and services",2,2,1.0
"Part 4: Admission, Scholarships and Financial Aid",Scholarships and Financial Aid,5,Credits and placement,2,5,0.4
"Part 4: Admission, Scholarships and Financial Aid",Scholarships and Financial Aid,7,"Degrees, transfer and services",3,5,0.6
Part 5: Financial Information,Estimated Expenses,2,Academic status and procedures,4,11,0.3636
Part 5: Financial Information,Estimated Expenses,5,Credits and placement,3,11,0.2727
Part 5: Financial Information,Estimated Expenses,6,China and language studies,2,11,0.1818
Part 5: Financial Information,Estimated Expenses,7,"Degrees, transfer and services",2,11,0.1818
Part 5: Financial Information,Refund,2,Academic status and procedures,10,10,1.0
Part 5: Financial Information,Tuition and Fees,2,Academic status and procedures,1,2,0.5
Part 5: Financial Information,Tuition and Fees,5,Credits and placement,1,2,0.5
Part 6: Academic Procedures and Information,Academic Integrity,2,Academic status and procedures,3,6,0.5
Part 6: Academic Procedures and Information,Academic Integrity,7,"Degrees, transfer and services",2,6,0.3333
Part 6: Academic Procedures and Information,Academic Integrity,9,Quantitative and technical study,1,6,0.1667
Part 6: Academic Procedures and Information,Academic Recognition and Honors,5,Credits and placement,4,5,0.8
Part 6: Academic Procedures and Information,Academic Recognition and Honors,7,"Degrees, transfer and services",1,5,0.2
Part 6: Academic Procedures and Information,"Academic Warning, Probation, and Suspension for Students in the Class of 2025 and Beyond",2,Academic status and procedures,8,10,0.8
Part 6: Academic Procedures and Information,"Academic Warning, Probation, and Suspension for Students in the Class of 2025 and Beyond",5,Credits and placement,2,10,0.2
Part 6: Academic Procedures and Information,"Academic Warning, Probation, and Suspension for Students in the Classes of 2022-2024",2,Academic status and procedures,12,13,0.9231
Part 6: Academic Procedures and Information,"Academic Warning, Probation, and Suspension for Students in the Classes of 2022-2024",5,Credits and placement,1,13,0.0769
Part 6: Academic Procedures and Information,Changes in Status,2,Academic status and procedures,7,12,0.5833
Part 6: Academic Procedures and Information,Changes in Status,5,Credits and placement,2,12,0.1667
Part 6: Academic Procedures and Information,Changes in Status,7,"Degrees, transfer and services",3,12,0.25
Part 6: Academic Procedures and Information,Class Attendance and Missed Work,2,Academic status and procedures,4,4,1.0
Part 6: Academic Procedures and Information,Class Scheduling,2,Academic status and procedures,1,1,1.0
Part 6: Academic Procedures and Information,Compliance with Academic Regulations,2,Academic status and procedures,1,1,1.0
Part 6: Academic Procedures and Information,Course Audit,2,Academic status and procedures,1,2,0.5
Part 6: Academic Procedures and Information,Course Audit,7,"Degrees, transfer and services",1,2,0.5
Part 6: Academic Procedures and Information,Course Repeat,2,Academic status and procedures,2,7,0.2857
Part 6: Academic Procedures and Information,Course Repeat,5,Credits and placement,3,7,0.4286
Part 6: Academic Procedures and Information,Course Repeat,7,"Degrees, transfer and services",2,7,0.2857
Part 6: Academic Procedures and Information,Declaration of Major,7,"Degrees, transfer and services",2,2,1.0
Part 6: Academic Procedures and Information,Education Records,2,Academic status and procedures,1,4,0.25
Part 6: Academic Procedures and Information,Education Records,7,"Degrees, transfer and services",3,4,0.75
Part 6: Academic Procedures and Information,Eligibility for Courses,2,Academic status and procedures,1,4,0.25
Part 6: Academic Procedures and Information,Eligibility for Courses,5,Credits and placement,3,4,0.75
Part 6: Academic Procedures and Information,Entrance Credit and Placement,5,Credits and placement,5,16,0.3125
Part 6: Academic Procedures and Information,Entrance Credit and Placement,6,China and language studies,1,16,0.0625
Part 6: Academic Procedures and Information,Entrance Credit and Placement,7,"Degrees, transfer and services",10,16,0.625
Part 6: Academic Procedures and Information,Exclusion of Disruptive Students from a Course,2,Academic status and procedures,2,2,1.0
Part 6: Academic Procedures and Information,Final Examinations,2,Academic status and procedures,3,3,1.0
Part 6: Academic Procedures and Information,Grade Review Procedure,2,Academic status and procedures,6,8,0.75
Part 6: Academic Procedures and Information,Grade Review Procedure,7,"Degrees, transfer and services",2,8,0.25
Part 6: Academic Procedures and Information,Grading and Grade Requirements,2,Academic status and procedures,9,21,0.4286
Part 6: Academic Procedures and Information,Grading and Grade Requirements,5,Credits and placement,6,21,0.2857
Part 6: Academic Procedures and Information,Grading and Grade Requirements,7,"Degrees, transfer and services",6,21,0.2857
Part 6: Academic Procedures and Information,Graduation and Commencement,5,Credits and placement,1,1,1.0
Part 6: Academic Procedures and Information,Incomplete Coursework and Excused Absence from Final Exam,2,Academic status and procedures,2,2,1.0
Part 6: Academic Procedures and Information,Independent Studies,4,Interdisciplinary learning,2,2,1.0
Part 6: Academic Procedures and Information,Notification of Intention to Graduate,7,"Degrees, transfer and services",1,1,1.0
Part 6: Academic Procedures and Information,Procedure for Resolution of Students' Academic Concerns,2,Academic status and procedures,4,5,0.8
Part 6: Academic Procedures and Information,Procedure for Resolution of Students' Academic Concerns,7,"Degrees, transfer and services",1,5,0.2
Part 6: Academic Procedures and Information,Progress toward Degree,2,Academic status and procedures,3,6,0.5
Part 6: Academic Procedures and Information,Progress toward Degree,5,Credits and placement,2,6,0.3333
Part 6: Academic Procedures and Information,Progress toward Degree,7,"Degrees, transfer and services",1,6,0.1667
Part 6: Academic Procedures and Information,Registration,2,Academic status and procedures,6,7,0.8571
Part 6: Academic Procedures and Information,Registration,7,"Degrees, transfer and services",1,7,0.1429
Part 6: Academic Procedures and Information,Religious Holidays,2,Academic status and procedures,1,2,0.5
